acousticness,popularity
0,60
0,41
0,60
0,72
0,72
0,72
0,54
0,54
0,72
0,60
1.01E-06,61
1.59E-06,32
1.73E-06,34
1.78E-06,51
2.10E-06,39.2
2.18E-06,46
2.38E-06,46.5
2.42E-06,26
2.52E-06,34
2.71E-06,41.5
2.91E-06,28
3.28E-06,45
3.37E-06,39
3.48E-06,35
3.57E-06,44
3.59E-06,46
3.72E-06,45
3.85E-06,39
4.13E-06,30
4.22E-06,34
4.41E-06,37
4.45E-06,51
4.63E-06,37
5.85E-06,46
6.11E-06,44
6.51E-06,40
6.52E-06,37
6.67E-06,54
6.82E-06,35
7.73E-06,45
7.79E-06,44
7.87E-06,49
8.17E-06,34.33333333
8.61E-06,33
8.77E-06,0
8.79E-06,29
9.03E-06,41
9.30E-06,52
9.30E-06,52
1.06E-05,35
1.09E-05,60
1.10E-05,57
1.14E-05,45.2
1.14E-05,42
1.15E-05,33
1.18E-05,31
1.19E-05,43
1.26E-05,53
1.29E-05,50
1.29E-05,50
1.33E-05,47
1.33E-05,66
1.34E-05,39
1.37E-05,46
1.37E-05,33
1.37E-05,45
1.38E-05,44
1.39E-05,45.5
1.40E-05,41
1.40E-05,29.7
1.48E-05,26.5
1.50E-05,40.5
1.55E-05,31
1.55E-05,31
1.60E-05,35.75
1.62E-05,34
1.68E-05,47.5
1.69E-05,34.125
1.69E-05,40
1.70E-05,51
1.84E-05,48
1.97E-05,35
2.02E-05,42
2.11E-05,45
2.11E-05,57
2.13E-05,32
2.22E-05,65
2.24E-05,48.5
2.25E-05,37
2.28E-05,57
2.28E-05,56
2.29E-05,44.5
2.30E-05,33
2.32E-05,45
2.34E-05,0
2.46E-05,55
2.49E-05,37
2.60E-05,0
2.62E-05,0
2.63E-05,0
2.65E-05,44
2.69E-05,0
2.71E-05,40
2.83E-05,50.5
2.89E-05,46.5
2.92E-05,36
2.93E-05,43
2.94E-05,0
2.96E-05,27
2.96E-05,42
2.98E-05,32.33333333
3.00E-05,48.33333333
3.01E-05,41.66666667
3.01E-05,31.33333333
3.01E-05,48
3.04E-05,50.5
3.07E-05,44
3.13E-05,54.33333333
3.21E-05,43
3.22E-05,0
3.25E-05,44
3.27E-05,54
3.29E-05,0
3.44E-05,0
3.52E-05,40
3.53E-05,54
3.56E-05,47
3.72E-05,38
3.73E-05,29
3.81E-05,41
3.81E-05,71
3.89E-05,45.5
3.91E-05,0
3.91E-05,0
3.95E-05,38
4.05E-05,49
4.18E-05,33
4.29E-05,23
4.42E-05,45
4.46E-05,49
4.51E-05,57
4.51E-05,42
4.58E-05,0
4.59E-05,26
4.59E-05,26
4.60E-05,32
4.65E-05,61
4.67E-05,54
4.68E-05,62
4.68E-05,53.5
4.76E-05,46
4.82E-05,42
4.84E-05,66
4.84E-05,66
4.95E-05,44
5.11E-05,50
5.12E-05,46
5.15E-05,61
