danceability,popularity
0.986,54
0.986,43
0.985,60
0.98,77
0.978,64
0.975,60
0.975,46
0.975,42
0.974,72
0.974,70
0.971,40
0.969,59
0.968,64
0.968,0
0.968,0
0.968,0
0.966,65
0.966,44
0.964,56
0.964,50
0.96,74.5
0.96,0
0.957666667,73
0.957,59
0.957,57
0.956,75
0.956,69
0.956,0
0.955,66
0.955,31
0.953,58
0.953,43
0.952,45
0.949,63
0.949,45
0.948,69
0.947,52.33333333
0.947,49
0.947,28
0.947,0
0.947,0
0.947,0
0.946,68
0.946,34
0.9456,56.8
0.945,62
0.945,49
0.945,46
0.944,47
0.944,34
0.944,29
0.943,52
0.943,45
0.9425,48
0.942,58
0.942,45
0.942,33
0.9415,51.5
0.94,50
0.94,50
0.94,43
0.94,39
0.939,67
0.939,58
0.939,42
0.939,42
0.939,40
0.9385,51.5
0.938,68
0.938,60
0.938,60
0.938,60
0.938,28
0.937,32
0.937,0
0.936333333,55
0.936,49
0.936,31
0.936,31
0.936,31
0.935333333,50.33333333
0.935,70
0.935,57
0.934,67
0.934,66
0.934,49
0.934,47
0.934,43
0.934,4
0.933,64.5
0.932,67
0.932,46
0.932,32
0.931,62
0.931,54
0.931,53
0.9305,62
0.93,60
0.93,36
0.929,67
0.929,66
0.929,66
0.929,47
0.929,46
0.929,37
0.929,0
0.929,0
0.92875,69.25
0.928,61
0.928,58
0.928,53
0.928,45
0.928,31
0.9275,36
0.927,50
0.927,34
0.927,29.33333333
0.9266,50.8
0.926,66
0.926,61
0.926,54
0.926,44
0.926,41
0.926,41
0.925,37
0.925,35
0.924,39
0.923,65
0.923,65
0.923,62
0.923,52
0.9225,67
0.9225,31
0.9225,31
0.922,58
0.922,58
0.922,58
0.922,53.75
0.922,53
0.922,41
0.9215,40
0.921,53
0.921,49
0.921,70.5
0.9205,32.5
0.92,61
0.92,52
0.92,47
0.92,40
0.92,36
0.919,63
0.919,58
0.919,58
0.919,49
0.919,49
0.918142857,42.42857143
0.918,65
0.918,44
