genres,popularity
"[""australian children's music"", ""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",48
"[""australian children's music"", ""children's music"", ""preschool children's music""]",47.5
"[""australian children's music"", ""children's music""]",45.36363636
"[""australian children's music"", 'cartoon', ""children's music""]",43
"[""australian children's music"", 'nursery']",46.5
"[""australian children's music""]",32
"[""black 'n' roll"", 'black metal', 'blackened crust', 'metal', 'norwegian black metal', 'norwegian death metal', 'norwegian metal']",43.33333333
"[""british children's music"", 'cartoon', ""children's music"", 'kids dance party', ""preschool children's music""]",53
"[""canadian children's music"", ""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",34.28571429
"[""canadian children's music"", ""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",32.5
"[""canadian children's music"", ""children's folk"", ""children's music""]",35.64285714
"[""canadian children's music"", 'cartoon', ""children's music"", 'musique pour enfant quebecois']",47
"[""canzone d'autore"", 'canzone genovese', 'classic italian pop', 'folk rock italiano', 'italian adult pop', 'musica sarda']",46.25
"[""canzone d'autore"", 'canzone genovese', 'classic italian pop', 'italian adult pop']",38
"[""canzone d'autore"", 'canzone napoletana', 'classic italian pop', 'folk rock italiano', 'italian adult pop']",50
"[""canzone d'autore"", 'classic italian pop', 'folk rock italiano', 'italian adult pop']",52.2
"[""canzone d'autore"", 'classic italian pop', 'italian adult pop']",51
"[""canzone d'autore"", 'classic italian pop', 'italian adult pop']",53
"[""canzone d'autore"", 'classic italian pop', 'italian adult pop']",53.4
"[""canzone d'autore"", 'classic italian pop', 'italian adult pop']",52.75
"[""canzone d'autore"", 'classic italian pop', 'italian adult pop']",51.5
"[""canzone d'autore"", 'classic italian pop']",28
"[""canzone d'autore"", 'folk rock italiano', 'italian adult pop']",56
"[""canzone d'autore""]",50.33333333
"[""children's choir"", 'german choir']",29
"[""children's choir"", 'german choir']",0.375
"[""children's choir"", 'german choir']",18
"[""children's choir""]",0
"[""children's choir""]",54
"[""children's choir""]",44
"[""children's folk"", ""children's music"", 'kids dance party', ""preschool children's music""]",57
"[""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",49.66666667
"[""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",44
"[""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",35.5
"[""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",39.66666667
"[""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]",50
"[""children's folk"", ""children's music"", 'kindie rock']",45.875
"[""children's folk"", ""children's music"", 'kindie rock']",42
"[""children's folk"", ""children's music"", 'kindie rock']",54
"[""children's folk"", ""children's music""]",44
"[""children's music"", ""children's story""]",24.33333333
"[""children's music"", ""preschool children's music"", 'vbs']",40.5
"[""children's music"", ""preschool children's music"", 'vbs']",42
"[""children's music"", ""preschool children's music""]",41
"[""children's music"", ""preschool children's music""]",26
"[""children's music"", ""preschool children's music""]",50
"[""children's music"", ""preschool children's music""]",52
"[""children's music"", ""preschool children's music""]",49
"[""children's music"", 'disney', 'movie tunes']",46.4
"[""children's music"", 'kids dance party', ""preschool children's music""]",38.5
"[""children's music"", 'kids dance party', ""preschool children's music""]",40
"[""children's music"", 'kids dance party', 'kindie rock', ""preschool children's music""]",44
"[""children's music"", 'kids dance party']",49
"[""children's music"", 'kindie rock', ""preschool children's music""]",45
"[""children's music"", 'kindie rock']",44
"[""children's music"", 'lullaby']",45.4
"[""children's music"", 'music box']",53.30769231
"[""children's music"", 'musica para ninos']",33.5
"[""children's music"", 'nursery', ""preschool children's music""]",41
"[""children's music"", 'nursery']",59
"[""children's music"", 'nursery']",36.14285714
"[""children's music"", 'vbs']",46
"[""children's music""]",18.8556701
"[""children's music""]",49
"[""children's music""]",55.5
"[""children's music""]",49
"[""children's music""]",45
"[""children's music""]",58
"[""children's music""]",42
"[""children's music""]",41.5
"[""children's music""]",43.375
"[""children's music""]",48
"[""children's music""]",30.5
"[""children's music""]",45
"[""children's music""]",40.25
"[""children's music""]",46
"[""children's music""]",56.25
"[""children's music""]",42
"[""children's music""]",65
"[""children's music""]",49
"[""children's music""]",51
"[""children's music""]",58.5
"[""children's music""]",46.33333333
"[""children's music""]",44
"[""children's music""]",33
"[""children's music""]",53.75
"[""children's music""]",58
"[""children's story""]",37
"[""muzika l'yeladim""]",34
"[""muzika l'yeladim""]",36
"[""preschool children's music""]",42.44444444
"[""punk 'n' roll"", 'punk blues']",36
"[""women's choir""]",45
[],30.57692308
[],34.85714286
[],34.85185185
[],43
[],32.77777778
[],0
[],3
[],59
[],43
[],43.5
[],42
[],32
[],23
[],19
[],0
[],47
[],30
[],45
[],1.25
[],0
[],0
[],16
[],42
[],0
[],16
[],0
[],54
[],59.5
[],52
[],0
[],51
[],63
[],25
[],60
[],57
[],59
[],33
[],3
[],47
[],0.333333333
[],1
[],24
[],0
[],0
[],0
[],0
[],31
[],0
[],0
[],0
[],51.4
[],50.71428571
[],9
[],46.5
[],14
[],2
[],33
[],64
[],62
[],67
[],51
[],62
[],65
[],36.33333333
[],0.020618557
[],33
[],0
[],79
[],36
[],30
[],0
[],40
[],44.66666667
[],0
[],60
[],0
[],37
[],0
[],34
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],30.5
[],0
[],21.33333333
[],0
[],0
[],0
[],0
[],0
[],0
[],43
[],41
[],28.57142857
[],0
[],0
[],2
[],0
[],44
[],57
[],62
[],44
[],44
[],52
[],0.222222222
[],0.5
[],38
[],0
[],5
[],28
[],0
[],0
[],33
[],0
[],0
[],0.666666667
[],0
[],0
[],16
[],61
[],38
[],0
[],33
[],31
[],0
[],0
[],44
[],0
[],42
[],0
[],0
[],70
[],0
[],0
[],21.75
[],45
[],0
[],42
[],16.4
[],44.5
[],0
[],0
[],0
[],0
[],0
[],46
[],45
[],63
[],0
[],0
[],52
[],37
[],10
[],59
[],0
[],20
[],0
[],35
[],12
[],0
[],21
[],0
[],42.5
[],0
[],57
[],17
[],15.5
[],12
[],32
[],0
[],17.66666667
[],29
[],2.3
[],20
[],50
[],44
[],45
[],58
[],55
[],38.28571429
[],0
[],0
[],10.5
[],0
[],9.5
[],6.8
[],0
[],68
[],0.5
[],0
[],48
[],5
[],1.333333333
[],0
[],4.375
[],0
[],29
[],0.046511628
[],0
[],0
[],0
[],0
[],24.5
[],0
[],0
[],0
[],0
[],60
[],25
[],4
[],0
[],0
[],0
[],0
[],0
[],68
[],51
[],0
[],1.333333333
[],59
[],43.7
[],49
[],47
[],31.4
[],58
[],0
[],49
[],67
[],0
[],38.5
[],51.5
[],21
[],22
[],31
[],1.6
[],0
[],1
[],16.10526316
[],0
[],0
[],61
[],0
[],42
[],14
[],60.77777778
[],0
[],0
[],2.5
[],2.333333333
[],4.466666667
[],12.9375
[],0
[],0
[],0
[],8.5625
[],9.095238095
[],7
[],0
[],0
[],50
[],54
[],0
[],0
[],11
[],56.16666667
[],43.33333333
[],0
[],0
[],56
[],32
[],39
[],1.25
[],2
[],57
[],44.66666667
[],0
[],55
[],38
[],0.666666667
[],0
[],35
[],1.307692308
[],0
[],1.444444444
[],0
[],0
[],0
[],2
[],51
[],4.333333333
[],0
[],42
[],51
[],56.4
[],3
[],49
[],0
[],0
[],55
[],0
[],29
[],0
[],49.66666667
[],0
[],0
[],49
[],46.66666667
[],0
[],0.2
[],51
[],43
[],58.4
[],40
[],34
[],0
[],1.512195122
[],55
[],53
[],0
[],0
[],0
[],31
[],28
[],56.5
[],0
[],3
[],38.28571429
[],25
[],41
[],0
[],34
[],17
[],33
[],0
[],49
[],24
[],58
[],0
[],45
[],40
[],0.666666667
[],64
[],56
[],0
[],37
[],0
[],44
[],37
[],52
[],56
[],51.83333333
[],66
[],0
[],0
[],1
[],0
[],0
[],0
[],0
[],0
[],0
[],8
[],0
[],0
[],18.2
[],26
[],0
[],0
[],29
[],1
[],0
[],32
[],24
[],28.85714286
[],53.2
[],41
[],51
[],0
[],0.307692308
[],0
[],67
[],0
[],8.5
[],0
[],1
[],40
[],49
[],0
[],0
[],0
[],49
[],0
[],0
[],0
[],0
[],0
[],36.5
[],69
[],27
[],24
[],20.33333333
[],0
[],0
[],0
[],0
[],6
[],0
[],47
[],41.66666667
[],6
[],35
[],2
[],0
[],0
[],1
[],39.33333333
[],48.5
[],0
[],54
[],29.5
[],0
[],0
[],0
[],4
[],34.25
[],6
[],22
[],3.4
[],41
[],0
[],0
[],59
[],11.82352941
[],35.5
[],35
[],9
[],14
[],1
[],29
[],0
[],0
[],0
[],0
[],0
[],20.5
[],0
[],19.94444444
[],12
[],0
[],7
[],5
[],47
[],58
[],38
[],36
[],53
[],32
[],48
[],51
[],42.25
[],0
[],57
[],35
[],0
[],0
[],0
[],0
[],0
[],0
[],40
[],49
[],0
[],0
[],0
[],0.022222222
[],0
[],0
[],32
[],0
[],0
[],0
[],0
[],0
[],0
[],51
[],3.666666667
[],0
[],29
[],49
[],39
[],0
[],51
[],37
[],52
[],0
[],25
[],0
[],0
[],0
[],0
[],0
[],46.5
[],7
[],0
[],0
[],0
[],16
[],32
[],43
[],0
[],0
[],0
[],62
[],65
[],50
[],39
[],43
[],0
[],46
[],0
[],46
[],45
[],0
[],64
[],0
[],31
[],0
[],0
[],0
[],0
[],28
[],71
[],40.5
[],0
[],1
[],49
[],0
[],26
[],0
[],14
[],13
[],11
[],2
[],3
[],8
[],24
[],0.666666667
[],0
[],9
[],10.5
[],0
[],6.5
[],9.705882353
[],14.5
[],2
[],0
[],0
[],0
[],0.571428571
[],0
[],21
[],2
[],47
[],0
[],0
[],1.904761905
[],0
[],0
[],0
[],56
[],0
[],0.048780488
[],0
[],1
[],0
[],2
[],0
[],0
[],0.4
[],69
[],44
[],23
[],0
[],0
[],0
[],0
[],61
[],64
[],0
[],0
[],51
[],45
[],0
[],0
[],65
[],0
[],0
[],0
[],0
[],0
[],0
[],37
[],0
[],0
[],0
[],0
[],1
[],0
[],0
[],0
[],0
[],54
[],41
[],2.5
[],40
[],0
[],41
[],0
[],68.5
[],0
[],20
[],66
[],42
[],7
[],0.666666667
[],0
[],4
[],60
[],26
[],59
[],43
[],0
[],0
[],0.085106383
[],52
[],0
[],62.33333333
[],54
[],0
[],0
[],36
[],0
[],15.83333333
[],22.375
[],35
[],0
[],0
[],0
[],0
[],0
[],0
[],40
[],0
[],42
[],0
[],2
[],0
[],0
[],49
[],8
[],48.5
[],58
[],1
[],19
[],43
[],0
[],0
[],43.5
[],48
[],42
[],36
[],21.5
[],54
[],60
[],44
[],76
[],10
[],19
[],6
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],39
[],49
[],69
[],0
[],38
[],49
[],42
[],0
[],0
[],0
[],0
[],35
[],11
[],0
[],0
[],0
[],39
[],68.5
[],38
[],2
[],0.25
[],1
[],0
[],1.5
[],4
[],2.166666667
[],0
[],0
[],5
[],64
[],60
[],0
[],0
[],60
[],0
[],0
[],0
[],48
[],0
[],11.5
[],21
[],8
[],33
[],19
[],27
[],7.5
[],34
[],0
[],0
[],24
[],3
[],0
[],45
[],62
[],32.4
[],0
[],1
[],20
[],48
[],9
[],43.5
[],1
[],0
[],0
[],36
[],8
[],0
[],0.230769231
[],6.5
[],0
[],0
[],43
[],0
[],49.5
[],0
[],0
[],20
[],0
[],29
[],0
[],61
[],0
[],76
[],0
[],0
[],22.5
[],3
[],7.666666667
