loudness,popularity
-60,41
-54.837,58
-54.376,68
-52.22,57
-51.123,59
-51.08,62
-50.174,63
-47.731,67
-47.19,57
-44.761,57
-44.727,37
-44.347,46
-44.281,64
-42.238,52
-42.238,52
-41.825,59
-41.786,50
-41.38833333,47.66666667
-40.561,43
-40.486,46
-40.461,46
-40.403,43
-40.147,37
-39.995,39
-39.982,49
-39.839,48
-39.802,47
-39.385,52
-39.385,52
-39.31066667,20
-39.307,45
-38.863,52
-38.863,52
-38.863,52
-38.855,52
-38.638,21.5
-38.638,21.5
-38.619,70
-38.414,66
-38.268,0
-38.0985,56
-37.986,40
-37.986,40
-37.943,0
-37.902,50
-37.809,54
-37.716,49.5
-37.633,51
-37.633,51
-37.571,51
-37.571,51
-37.571,51
-37.57,37
-37.468,49
-37.468,49
-37.468,49
-37.468,49
-37.422,48
-37.257,56
-37.242,47
-37.141,64
-37.04437705,60.95081967
-36.977,47
-36.977,47
-36.886,54
-36.853,66
-36.734,39
-36.606,52
-36.544,54
-36.544,54
-36.28,37
-36.28,37
-36.166,19
-36.146,47
-36.09,33
-36.027,53
-36.022,44
-35.951,47
-35.951,47
-35.951,47
-35.9045,41
-35.9045,41
-35.69,58
-35.626,55
-35.598,35
-35.598,35
-35.582,51
-35.582,51
-35.55494595,0
-35.464,38
-35.45,50
-35.355,50
-35.355,50
-35.264,38
-35.264,38
-35.264,38
-35.214,35
-35.214,35
-35.169,65
-35.154,54
-35.154,54
-35.154,54
-35.116,48
-35.116,48
-35.098,44
-35.098,44
-35.098,44
-35.072,70
-35.0716,38.8
-35.055,0
-34.939,42
-34.9135,46.5
-34.913,44
-34.755,70
-34.754,44
-34.753,52
-34.71305882,57.76470588
-34.69,66
-34.673,5
-34.638,59
-34.468,50
-34.366,40
-34.366,40
-34.227,37
-34.09,37
-33.966,62
-33.96266667,57
-33.947,0
-33.652,62
-33.649,40
-33.622,36
-33.558,37
-33.558,37
-33.528,60
-33.47625,50.75
-33.476,66
-33.475,49
-33.475,49
-33.453,43
-33.358,60
-33.349,1
-33.348,17
-33.299,63
-33.295,70
-33.286,39
-33.137,2
-33.135,50
-33.082,43
-33.082,43
-33.066,54.66666667
-33.0425,50
-33.039,42.5
-33.0128,40.93333333
-32.967,41
-32.967,41
-32.865,36
-32.86,10
-32.86,10
-32.821,35
-32.75333333,31.33333333
-32.716,64
-32.7115,54.5
-32.667,40
-32.652,51
-32.649,39.5
-32.629,1
-32.627,51
-32.587,5
-32.56725,7.25
-32.5405,51.5
-32.516,41
-32.456,0
-32.4545,47
-32.454,52
-32.431,67
-32.422,51
-32.417,53
-32.377,57
-32.17933333,0
-32.0435,67
-32.0095,17.5
-32.0095,17.5
-31.996,52
-31.983,51
-31.973,54
-31.947,2
-31.947,2
-31.916,54
-31.8955,45.5
-31.858,64
-31.704,53
-31.7,65
-31.66366667,38.66666667
-31.658,41
-31.646,68
-31.641,57
-31.641,57
-31.6365,75.5
-31.634,46
-31.623,52
-31.623,52
-31.615,63
-31.56966667,0
-31.564,68
-31.512,0
-31.477,54
-31.4735,67.5
-31.437,42
-31.406,10.5
-31.391,2
-31.366,34
-31.365,52
-31.327,0
-31.159,57
-31.13,62
-31.121,0
-31.112,40
-31.069,0
-31.063,27
-31.04534783,33.82608696
-31.019,64
-31.004,6
-30.941,0
-30.937,56
-30.932,58
-30.925,53
-30.883,68
-30.804,0
-30.804,58
-30.76769565,7.695652174
-30.767,57
-30.76544444,43.55555556
-30.75,41
-30.69033333,46
-30.684,45
-30.646,0
-30.646,0
-30.62925,43.25
-30.61833333,54
-30.584,40
-30.569,64
-30.548,27
-30.543,64
-30.53673913,35.86956522
-30.528,34
-30.525,67
-30.513,44
-30.509,31
-30.509,0
-30.4785,28.5
-30.4,38
-30.36,8.666666667
-30.338,25
-30.334,31
