tempo,popularity
0,57
0,60
0,41
0,52
0,49
0,60
0,76
0,57
0,72
0,72
0,47
0,72.33333333
0,57
0,60.66666667
0,70
0,68
0,63
0,48
0,57
0,72
0,56.5
0,70
0,69
0,66
0,69
0,60
0,60
0,56.5
0,56.5
0,62
0,54
0,54
0,55
0,62
0,50
0,47
0,67
0,64
0,62
0,48
0,72
0,69
0,60
0,56.5
0,77.75
0,60
0,74
14.6384,50.9
17.844,67.58333333
19.023,55.83333333
27.08466667,56.66666667
29.1135,75.5
30.946,20
35.975,68.5
36.752,5
38.559,27
39.205,0
39.4805,63
41.072,67
41.072,73
42.2785,71.25
43.364,56
43.364,56
43.364,56
43.7785,66.5
44.068,43
44.5945,63.5
45.4775,46.5
45.4775,46.5
45.6552,53.2
45.97,1
46.195,40
46.375375,60.375
46.722,45
47.469,64.5
47.605,0
48.278,56
49.3795,50.5
49.452,71
50.113,0
50.2165,54.5
50.495,0
50.75066667,1.666666667
50.96,58
51.536,0
51.668,0
51.668,0
51.712,14
52.194,0
52.32,0
52.81,39
52.976,0
53.313,63
53.465,1
53.863,65
54.747,76
55.1312,57.2
55.481,47
55.481,47
55.481,0
55.485,1
55.485,1
55.733,60.33333333
55.915,0
55.942,46
56.436,45
56.736,0
56.738,0
57.069,53
57.523,62
57.631,0
57.631,0
57.90525,61.5
57.963,2
58.262,0
58.572,0
58.639,0
58.66,7
58.66,7
58.76,16
58.875,50
59.173,56
59.1885,67.5
59.377,0
59.528,21
59.694,66
59.762,0
59.806,1
59.816,0
59.823,1
59.888,61
59.959,57
59.972,0
59.972,0
59.972,0
59.999,0
60.077,0
60.829,0
60.975,32
61.017,45
61.039,0
61.154,2
61.214,2
61.214,2
61.214,2
61.214,2
61.331,1
61.494,67
61.538,46
61.538,0
61.577,51
61.605,0
61.605,0
61.605,0
61.623,16
61.738,0
61.757,49
61.838,0
61.908,48
62.001,64
62.0325,28
62.057,0
62.195,0
62.301,2
62.303,0
62.352,0
62.36,52
62.36,52
62.36,52
62.36,52
62.36,52
62.411,0
62.45,12
62.494,56
62.557,38
62.575,15
62.575,15
62.695,0
62.8285,45.5
62.834,63
62.863,9
62.917,0
62.948,80
62.948,80
62.976,63.33333333
62.984,62
63.005,0
63.044,0
63.05,0
63.1,53
63.106,3.5
63.15,38
63.15,38
63.375,2
63.445,0
63.473,66
63.502,0
63.513,55
63.743,0
63.771,10
63.776,0
63.781,31
63.781,31
63.842,47
63.989,33
64.031,49
64.045,0
64.065,15
64.065,15
64.065,15
64.065,15
64.099,0
64.103,0
64.192,0
64.226,0
64.253,61
64.2596,0.2
64.275,6
64.378,0
64.394,5
64.396,0
64.396,0
64.48,50
64.502,65
64.51,0
64.564,51
64.564,51
64.594,42
64.594,42
64.594,42
64.594,42
64.594,42
64.594,42
64.594,42
64.619,13
64.638,0
64.657,66
64.737,0
64.812,1
64.849,0
64.853,0
64.86,52
64.921,26
64.97,57
64.979,39
65.00171429,61.42857143
65.003,53
65.017,38
65.057,53
65.057,53
65.057,53
65.062,50
65.108,0
65.211,1
65.218,25
65.229,0
65.278,32
65.278,32
65.281,0
65.288,5
65.288,5
65.33433333,0
65.346,0
65.356,0
65.384,41
65.395,48
65.44,52
65.44,52
65.447,52
65.449,64
65.54,1
65.54,1
65.566,5
65.591,52
65.6045,58
65.614,0
65.672,0
65.676,0
65.712,0
65.745,0
65.745,0
65.829,0
65.832,68
65.921,56.66666667
65.929,24
65.93,12
65.93,37
65.95,2
65.95,2
65.951,7
65.971,42
65.971,42
65.971,42
65.98,0
66.006,29
66.007,62
66.058,0
66.1075,52.5
66.136,0
66.168,48
66.201,41
66.201,41
66.235,35
66.269,0
66.282,71
66.289,46
66.299,0
66.304,0
66.304,0
66.35,39
66.42,11
66.427,10
66.481,0
66.486,54
66.538,0
66.56,62
66.595,41
66.614,0
66.617,46
66.643,37
66.643,37
66.643,37
66.671,0
66.763,0
66.845,44
66.854,49
66.854,49
66.854,49
66.854,49
66.854,49
66.854,5
66.854,49
66.854,49
66.87633333,65.66666667
66.921,39
66.931,0
66.945,55
66.948,43
66.9995,43
67.006,44
67.006,44
67.006,44
67.012,65
67.016,72
67.033,52
67.071,57
67.083,56
67.085,27
67.095,19
67.095,19
67.1,48
67.1,48
67.1,48
67.117,1
67.117,1
67.132,0
67.151,0
67.156,2
67.163,0
67.163,0
67.185,0
67.191,64
67.194,54
67.3,65
67.33733333,0
67.38,0
67.393,0
67.459,39
67.469,44
67.485,12
67.4895,0
67.49166667,2
67.521,47
67.576,57
67.587,45
67.593,26
67.5965,0
67.61,34
67.611,59
67.667,60
67.697,57
67.697,57
67.70825,48.375
67.711,58
67.722,0
67.722,0
67.74,0
67.74,0
67.756,18
67.788,0
67.792,18
67.807,38
67.818,70
67.822,0
67.837,45
67.856,46
67.89,51
67.891,45
67.9,0
67.911,40
67.946,53
67.971,0
67.978,52
68.006,0
68.007,0
68.011,3
68.029,0
68.036,1
68.069,59
68.081,42
68.086,0
68.087,41
68.109,44
68.129,0
68.144,59
68.22,65
68.221,60
68.2335,9.5
68.248,0
